                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.333,                 4.5529,                  1.607,                0.76271,                0.06481,                0.05348,                0.03713,                0.94231,                  3.453,                 1.3647,             7.3557e-05,             7.3557e-05,             7.3557e-05
                      2,                 1.2628,                 3.8597,                 1.6005,                0.46156,                 0.1298,                0.12437,                 0.1018,                0.90866,                 2.7996,                 1.3605,              0.0001461,              0.0001461,              0.0001461
                      3,                 1.2593,                 3.3721,                 1.5782,                0.56166,                0.17871,                0.19331,                0.14408,                0.88328,                 2.4405,                 1.3353,             0.00021717,             0.00021717,             0.00021717
                      4,                  1.242,                 3.0417,                 1.5401,                0.68282,                0.22164,                0.28921,                0.22586,                0.81973,                 2.3686,                 1.2498,             0.00021541,             0.00021541,             0.00021541
                      5,                  1.211,                 2.7904,                 1.5015,                0.58393,                0.28302,                0.30951,                0.23646,                0.82619,                  2.126,                  1.245,             0.00021541,             0.00021541,             0.00021541
                      6,                 1.1899,                  2.605,                 1.4723,                0.51419,                0.36187,                0.34068,                0.26138,                0.79984,                 1.9416,                  1.211,             0.00021321,             0.00021321,             0.00021321
                      7,                 1.1744,                 2.4559,                 1.4518,                0.82079,                0.25275,                 0.4237,                0.34018,                0.81962,                  1.821,                 1.2139,             0.00021101,             0.00021101,             0.00021101
                      8,                 1.1507,                 2.3186,                 1.4267,                0.75939,                0.36953,                0.50121,                0.39991,                0.80633,                 1.7253,                 1.2088,             0.00020881,             0.00020881,             0.00020881
                      9,                  1.142,                 2.1878,                 1.4201,                0.65304,                0.39603,                0.48093,                0.38138,                0.80218,                 1.6971,                  1.201,             0.00020662,             0.00020662,             0.00020662
                     10,                 1.1354,                 2.0981,                 1.4136,                0.60601,                0.45126,                0.48596,                0.38198,                0.81076,                 1.5932,                 1.1816,             0.00020442,             0.00020442,             0.00020442
